SQL> 
SQL> set lines 500
SQL> 
SQL> select distinct target_type || '|' || metric_name || '|' || metric_label || '|' || column_label
  2  from  mgmt$metric_current
  3  order by 1;

TARGET_TYPE||'|'||METRIC_NAME||'|'||METRIC_LABEL||'|'||COLUMN_LABEL
------------------------------------------------------------------------------------------------
casm_diskgroup_component|DiskGroup_Target_Component|Disk Group Target Component|Disk Count   
osm_cluster|Instance_Disk_Performance|Instance Disk Performance|Bytes Read 
osm_cluster|Instance_Disk_Performance|Instance Disk Performance|Bytes Written
osm_cluster|Instance_Disk_Performance|Instance Disk Performance|Last Read Errors
osm_cluster|Instance_Disk_Performance|Instance Disk Performance|Read Errors
osm_cluster|Instance_Disk_Performance|Instance Disk Performance|Read Response Time (MS) 
osm_cluster|Instance_Disk_Performance|Instance Disk Performance|Read Time (MS)
osm_cluster|Instance_Disk_Performance|Instance Disk Performance|Reads  
osm_cluster|Instance_Disk_Performance|Instance Disk Performance|Response Time (MS) 
osm_cluster|Instance_Disk_Performance|Instance Disk Performance|Total I/O Time (MS)
osm_cluster|Instance_Disk_Performance|Instance Disk Performance|Write Errors 
osm_cluster|Instance_Disk_Performance|Instance Disk Performance|Write Response Time (MS)
osm_cluster|Instance_Disk_Performance|Instance Disk Performance|Write Time (MS) 
osm_cluster|Instance_Disk_Performance|Instance Disk Performance|Writes 
osm_cluster|Instance_Diskgroup_Database_Performance|Instance Diskgroup Database Performance|Bytes Read   
osm_cluster|Instance_Diskgroup_Database_Performance|Instance Diskgroup Database Performance|Bytes Written
osm_cluster|Instance_Diskgroup_Database_Performance|Instance Diskgroup Database Performance|Read Time (MS) 
osm_cluster|Instance_Diskgroup_Database_Performance|Instance Diskgroup Database Performance|Reads
osm_cluster|Instance_Diskgroup_Database_Performance|Instance Diskgroup Database Performance|Write Time (MS)
osm_cluster|Instance_Diskgroup_Database_Performance|Instance Diskgroup Database Performance|Writes   
osm_cluster|Instance_Diskgroup_Performance|Instance Diskgroup Performance|Bytes Read
osm_cluster|Instance_Diskgroup_Performance|Instance Diskgroup Performance|Bytes Written 
osm_cluster|Instance_Diskgroup_Performance|Instance Diskgroup Performance|Read Time (MS)
osm_cluster|Instance_Diskgroup_Performance|Instance Diskgroup Performance|Reads 
osm_cluster|Instance_Diskgroup_Performance|Instance Diskgroup Performance|Write Time (MS)    
osm_cluster|Instance_Diskgroup_Performance|Instance Diskgroup Performance|Writes
osm_cluster|Single_Instance_OFS_Summary|ASM Cluster File System|Corrupt
osm_cluster|Single_Instance_OFS_Summary|ASM Cluster File System|Disk Group Allocated Space (GB)  
osm_cluster|Single_Instance_OFS_Summary|ASM Cluster File System|Free (GB)  
osm_cluster|Single_Instance_OFS_Summary|ASM Cluster File System|Size (GB)  
osm_cluster|Single_Instance_OFS_Summary|ASM Cluster File System|Used (%)   
osm_cluster|Single_Instance_OFS_Summary|ASM Cluster File System|Used (GB)  
osm_cluster|Single_Instance_OFS_Summary|ASM Cluster File System|Used (MB)  
osm_cluster|Single_Instance_OFS_Summary|ASM Cluster File System|Volume Name
osm_cluster|Volumes_Summary|ASM Volumes|Disk Group Allocated Space (GB)
osm_cluster|Volumes_Summary|ASM Volumes|Redundancy   
osm_cluster|Volumes_Summary|ASM Volumes|Size (GB)    
osm_cluster|Volumes_Summary|ASM Volumes|Usage   
osm_cluster|Volumes_Summary|ASM Volumes|Volume Name  
osm_cluster|disk_status_rollup|Offline Disk Count|Offline Disk Count   
osm_cluster|disk_status|Disk Status|Disk Mode Status 
osm_cluster|diskgroup_fg_imbalance|Failure Group Imbalance Status|Disk Count Imbalance Variance  
osm_cluster|diskgroup_fg_imbalance|Failure Group Imbalance Status|Disk Size Imbalance (%)    
osm_cluster|diskgroup_fg_imbalance|Failure Group Imbalance Status|Failure Group Count   
osm_cluster|diskgroup_imbalance|Disk Group Imbalance Status|Actual Imbalance (%)
osm_cluster|diskgroup_imbalance|Disk Group Imbalance Status|Actual Minimum Percent Free 
osm_cluster|diskgroup_imbalance|Disk Group Imbalance Status|Disk Count 
osm_cluster|diskgroup_imbalance|Disk Group Imbalance Status|Disk Group Imbalance (%) without Rebalance   
osm_cluster|diskgroup_imbalance|Disk Group Imbalance Status|Disk Maximum Used (%) with Rebalance 
osm_cluster|diskgroup_imbalance|Disk Group Imbalance Status|Disk Minimum Free (%) without Rebalance  
osm_cluster|diskgroup_imbalance|Disk Group Imbalance Status|Disk Size Variance (%) 
osm_cluster|diskgroup_imbalance|Disk Group Imbalance Status|Rebalance In Progress  
osm_cluster|diskgroup_imbalance|Disk Group Imbalance Status|Resync In Progress
osm_cluster|unavailable_failure_group|Failure Group Status|Available Disks 
osm_cluster|unavailable_failure_group|Failure Group Status|Online Disk Count for Failure Group with more than 1 Disk 
osm_cluster|unavailable_failure_group|Failure Group Status|Total Disks 
osm_instance|DiskGroup_Status|Disk Group Status|State
osm_instance|Instance_Volumes_Summary|ASM Volumes Instance Information|Mount Point 
osm_instance|Instance_Volumes_Summary|ASM Volumes Instance Information|Status
osm_instance|Response|Response|Status 
osm_instance|adrAlertLogCheckerFailure|Checker Failure|Alert Log Name  
osm_instance|adrAlertLogCheckerFailure|Checker Failure|Checker Failure Detected 
osm_instance|adrAlertLogCheckerFailure|Checker Failure|Number of Failures  
osm_instance|adrAlertLogIncidentError|Incident|ASM Block Corruption
osm_instance|adrAlertLogIncidentError|Incident|Access Violation  
osm_instance|adrAlertLogIncidentError|Incident|Alert Log Error Trace File  
osm_instance|adrAlertLogIncidentError|Incident|Alert Log Name
osm_instance|adrAlertLogIncidentError|Incident|Cluster Error 
osm_instance|adrAlertLogIncidentError|Incident|Deadlock  
osm_instance|adrAlertLogIncidentError|Incident|ECID  
osm_instance|adrAlertLogIncidentError|Incident|File Access Error 
osm_instance|adrAlertLogIncidentError|Incident|Generic Incident  
osm_instance|adrAlertLogIncidentError|Incident|Generic Internal Error  
osm_instance|adrAlertLogIncidentError|Incident|Impact
osm_instance|adrAlertLogIncidentError|Incident|Incident ID   
osm_instance|adrAlertLogIncidentError|Incident|Internal SQL Error
osm_instance|adrAlertLogIncidentError|Incident|Out of Memory 
osm_instance|adrAlertLogIncidentError|Incident|Redo Log Corruption 
osm_instance|adrAlertLogIncidentError|Incident|Session Terminated
osm_instance|incident_meter|incident_meter|critical_incidents
osm_instance|incident_meter|incident_meter|severity_index
osm_instance|incident_meter|incident_meter|warning_incidents 
rac_database|DATABASE_SIZE|Database Size|Allocated Space(GB) 
rac_database|DATABASE_SIZE|Database Size|Used Space(GB)  
rac_database|DGPrimaryDBName|DGPrimaryDBName|db_name 
rac_database|DeferredTrans|Deferred Transactions|Deferred Transaction Count
rac_database|DeferredTrans|Deferred Transactions|Deferred Transaction Error Count  
rac_database|ME$Last_full_backup_cluster_db|Last full backup cluster db|Days since backup    
rac_database|ME$Last_full_backup_cluster_db|Last full backup cluster db|Last backup
rac_database|ME$datafile_offline_clusterdb|datafile_offline_clusterdb|status 
rac_database|Recovery_Area|Recovery Area|Recovery Area Free Space (%)  
rac_database|Temporary_File_Status|Temporary File Status|File Name 
rac_database|Temporary_File_Status|Temporary File Status|Status  
rac_database|UserBlock|User Block|Blocking Session Count 
rac_database|UserLocks|User Locks|Maximum Blocked DB Time (seconds)
rac_database|UserLocks|User Locks|Maximum Blocked Session Count  
rac_database|addm_report_database|ADDM Report - Global|Report1   
rac_database|addm_report_database|ADDM Report - Global|Report10  
rac_database|addm_report_database|ADDM Report - Global|Report11  
rac_database|addm_report_database|ADDM Report - Global|Report12  
rac_database|addm_report_database|ADDM Report - Global|Report13  
rac_database|addm_report_database|ADDM Report - Global|Report14  
rac_database|addm_report_database|ADDM Report - Global|Report15  
rac_database|addm_report_database|ADDM Report - Global|Report16  
rac_database|addm_report_database|ADDM Report - Global|Report2   
rac_database|addm_report_database|ADDM Report - Global|Report3   
rac_database|addm_report_database|ADDM Report - Global|Report4   
rac_database|addm_report_database|ADDM Report - Global|Report5   
rac_database|addm_report_database|ADDM Report - Global|Report6   
rac_database|addm_report_database|ADDM Report - Global|Report7   
rac_database|addm_report_database|ADDM Report - Global|Report8   
rac_database|addm_report_database|ADDM Report - Global|Report9   
rac_database|apply_coord|Streams Apply Coordinator Statistics|Rate of  Transactions Applied(per Sec) 
rac_database|apply_coord|Streams Apply Coordinator Statistics|Rate of  Transactions Assigned(per Sec)
rac_database|apply_coord|Streams Apply Coordinator Statistics|Rate of Transactions Received(per Sec) 
rac_database|apply_coord|Streams Apply Coordinator Statistics|Total Number of Transactions Assigned  
rac_database|apply_coord|Streams Apply Coordinator Statistics|Total Number of Transactions Received  
rac_database|apply_coord|Streams Apply Coordinator Statistics|Total number of Transactions applied   
rac_database|apply_queue_buffq|Streams Apply Queue - Buffered |Apply Queue - Cumulative Number of Messages 
rac_database|apply_queue_buffq|Streams Apply Queue - Buffered |Apply Queue - Cumulative Number of Spilled Messages 
rac_database|apply_queue_buffq|Streams Apply Queue - Buffered |Apply Queue - Number of Messages  
rac_database|apply_queue_buffq|Streams Apply Queue - Buffered |Apply Queue - Number of Spilled Messages  
rac_database|apply_queue_buffq|Streams Apply Queue - Buffered |Streams Apply - (%)Cumulative Spilled Messages  
rac_database|apply_queue_buffq|Streams Apply Queue - Buffered |Streams Apply - (%)Spilled Messages   
rac_database|apply_reader|Streams Apply Reader Statistics|Rate at which messages are being dequeued(per Sec)   
rac_database|apply_reader|Streams Apply Reader Statistics|Rate at which messages are getting spilled(per Sec)  
rac_database|apply_reader|Streams Apply Reader Statistics|Total number of Messages Dequeued  
rac_database|apply_reader|Streams Apply Reader Statistics|Total number of Spilled Messages   
rac_database|aq_buff_queue_space_usage|Space usage by buffered queues|Allocated Streams pool size (MB)   
rac_database|aq_buff_queue_space_usage|Space usage by buffered queues|Buffered queue space usage wrt streams pool size (%)   
rac_database|aq_buff_queue_space_usage|Space usage by buffered queues|Instance Name
rac_database|aq_buff_queue_space_usage|Space usage by buffered queues|Queue size (MB)   
rac_database|aq_msgs_per_buffered_queue_per_subscriber|Messages per buffered queue per subscriber|Average age of messages/buffered queue/subscriber (seconds) 
rac_database|aq_msgs_per_buffered_queue_per_subscriber|Messages per buffered queue per subscriber|First message age in buffered queue/subscriber (Seconds)
rac_database|aq_msgs_per_buffered_queue_per_subscriber|Messages per buffered queue per subscriber|Messages processed/buffered queue/subscriber (%) 
rac_database|aq_msgs_per_buffered_queue_per_subscriber|Messages per buffered queue per subscriber|Messages processed/buffered queue/subscriber per minute (%) 
rac_database|aq_msgs_per_buffered_queue_per_subscriber|Messages per buffered queue per subscriber|Total messages processed/buffered queue/subscriber per minute 
rac_database|aq_msgs_per_buffered_queue_per_subscriber|Messages per buffered queue per subscriber|Total messages received/buffered queue/subscriber per minute
rac_database|aq_msgs_per_buffered_queue_per_subscriber|Messages per buffered queue per subscriber|Total number of messages processed 
rac_database|aq_msgs_per_buffered_queue_per_subscriber|Messages per buffered queue per subscriber|Total number of messages received  
rac_database|aq_msgs_per_buffered_queue|Messages per buffered queue|Average age of messages per buffered queue (seconds)
rac_database|aq_msgs_per_buffered_queue|Messages per buffered queue|First Message Age in Buffered Queue Per Queue (Seconds)  
rac_database|aq_msgs_per_buffered_queue|Messages per buffered queue|Messages processed per buffered queue (%)  
rac_database|aq_msgs_per_buffered_queue|Messages per buffered queue|Messages processed per buffered queue (%) per minute
rac_database|aq_msgs_per_buffered_queue|Messages per buffered queue|Spilled Messages
rac_database|aq_msgs_per_buffered_queue|Messages per buffered queue|Total Messages Processed per Buffered Queue per Minute   
rac_database|aq_msgs_per_buffered_queue|Messages per buffered queue|Total Messages Received per Buffered Queue per Minute    
rac_database|aq_msgs_per_buffered_queue|Messages per buffered queue|Total number of messages processed   
rac_database|aq_msgs_per_buffered_queue|Messages per buffered queue|Total number of messages received
rac_database|aq_msgs_per_persistent_queue_per_subscriber|Messages per persistent queue per subscriber|Average age of messages/persistent queue/subscriber (seconds)
rac_database|aq_msgs_per_persistent_queue_per_subscriber|Messages per persistent queue per subscriber|First Message Age in Persistent Queue/Subscriber (seconds)
rac_database|aq_msgs_per_persistent_queue_per_subscriber|Messages per persistent queue per subscriber|Messages processed/persistent queue/subscriber (%)  
rac_database|aq_msgs_per_persistent_queue_per_subscriber|Messages per persistent queue per subscriber|Messages processed/persistent queue/subscriber per minute (%)
rac_database|aq_msgs_per_persistent_queue_per_subscriber|Messages per persistent queue per subscriber|Total messages processed/persistent queue/subscriber per minute   
rac_database|aq_msgs_per_persistent_queue_per_subscriber|Messages per persistent queue per subscriber|Total messages received/persistent queue/subscriber per minute    
rac_database|aq_msgs_per_persistent_queue_per_subscriber|Messages per persistent queue per subscriber|Total number of messages processed 
rac_database|aq_msgs_per_persistent_queue_per_subscriber|Messages per persistent queue per subscriber|Total number of messages received  
rac_database|aq_msgs_per_persistent_queue|Messages per persistent queue|Age of the first message in persistent queue per queue (seconds) 
rac_database|aq_msgs_per_persistent_queue|Messages per persistent queue|Average age of messages per persistent queue (seconds)   
rac_database|aq_msgs_per_persistent_queue|Messages per persistent queue|Messages processed per persistent queue (%)
rac_database|aq_msgs_per_persistent_queue|Messages per persistent queue|Messages processed per persistent queue (%) per minute   
rac_database|aq_msgs_per_persistent_queue|Messages per persistent queue|Total Messages Processed per Persistent Queue per Minute 
rac_database|aq_msgs_per_persistent_queue|Messages per persistent queue|Total Messages Received per Persistent Queue per Minute  
rac_database|aq_msgs_per_persistent_queue|Messages per persistent queue|Total number of messages processed 
rac_database|aq_msgs_per_persistent_queue|Messages per persistent queue|Total number of messages received
rac_database|archFull|Archive Area|Archive Area Used (%) 
rac_database|archFull|Archive Area|Archive Area Used (KB)
rac_database|archFull|Archive Area|Free Archive Area (KB)
rac_database|archFull|Archive Area|Total Archive Area (KB)   
rac_database|audit_failed_logins2|Failed Logins|Failed Login Count 
rac_database|audit_failed_logins_historical|Failed Logins (Historical)|Failed Login Count    
rac_database|capture_message|Streams Capture Message Statistics|Message Capture Rate(per Sec)
rac_database|capture_message|Streams Capture Message Statistics|Messages Enqueue Rate(per Sec)   
rac_database|capture_message|Streams Capture Message Statistics|Total Messages Captured 
rac_database|capture_message|Streams Capture Message Statistics|Total Messages Enqueued 
rac_database|capture_queue|Streams Capture Queue Statistics|Capture Queue - Cumulative Number of Messages
rac_database|capture_queue|Streams Capture Queue Statistics|Capture Queue - Cumulative Number of Spilled Messages  
rac_database|capture_queue|Streams Capture Queue Statistics|Capture Queue - Number of Messages   
rac_database|capture_queue|Streams Capture Queue Statistics|Capture Queue - Number of Spilled Messages   
rac_database|capture_queue|Streams Capture Queue Statistics|Streams Capture - (%)Cumulative Spilled Messages   
rac_database|capture_queue|Streams Capture Queue Statistics|Streams Capture - (%)Spilled Messages
rac_database|dataguard_fsfo|Data Guard Fast-Start Failover|Fast-Start Failover Occurred 
rac_database|dataguard_fsfo|Data Guard Fast-Start Failover|Fast-Start Failover SCN 
rac_database|dataguard_fsfo|Data Guard Fast-Start Failover|Fast-Start Failover Status   
rac_database|dataguard_fsfo|Data Guard Fast-Start Failover|Fast-Start Failover Time
rac_database|dataguard_pperf|Data Guard Performance|Redo Generation Rate (KB/second)
rac_database|dataguard_sperf_112|Data Guard Performance|Apply Lag (seconds)
rac_database|dataguard_sperf_112|Data Guard Performance|Apply Lag Data Refresh Time
rac_database|dataguard_sperf_112|Data Guard Performance|Estimated Failover Time (seconds)    
rac_database|dataguard_sperf_112|Data Guard Performance|Redo Apply Rate (KB/second)
rac_database|dataguard_sperf_112|Data Guard Performance|Transport Lag (seconds) 
rac_database|dataguard_sperf_112|Data Guard Performance|Transport Lag Data Refresh Time 
rac_database|dataguard_sperf|Data Guard Performance - 11.1 and Prior Database|Apply Lag (seconds) - 11.1 and Prior Database  
rac_database|dataguard_sperf|Data Guard Performance - 11.1 and Prior Database|Estimated Failover Time (seconds) - 11.1 and Prior Database
rac_database|dataguard_sperf|Data Guard Performance - 11.1 and Prior Database|Redo Apply Rate (KB/second) - 11.1 and Prior Database  
rac_database|dataguard_sperf|Data Guard Performance - 11.1 and Prior Database|Transport Lag (seconds) - 11.1 and Prior Database  
rac_database|dataguard|Data Guard Status|Data Guard Status   
rac_database|db_service_status|Database Service Status|Database Service Status
rac_database|db_service_status|Database Service Status|Preferred Instances List 
rac_database|db_service_status|Database Service Status|Running Instances List
rac_database|db_service_status|Database Service Status|Service Cardinality 
rac_database|dbjob_status|Database Job Status|Broken Job Count   
rac_database|dbjob_status|Database Job Status|Failed Job Count   
rac_database|ha_flashrecovery|Flash Recovery|Flash Recovery Area 
rac_database|ha_flashrecovery|Flash Recovery|Flash Recovery Area Size  
rac_database|ha_flashrecovery|Flash Recovery|Flashback On
rac_database|ha_flashrecovery|Flash Recovery|Log Mode
rac_database|ha_flashrecovery|Flash Recovery|Non-reclaimable Flash Recovery Area (%)
rac_database|ha_flashrecovery|Flash Recovery|Oldest Flashback Time 
rac_database|ha_flashrecovery|Flash Recovery|Reclaimable Flash Recovery Area (%)
rac_database|ha_flashrecovery|Flash Recovery|Usable Flash Recovery Area (%)
rac_database|ha_recovery|Recovery|Corrupt Data Block Count   
rac_database|ha_recovery|Recovery|Datafiles Need Media Recovery  
rac_database|ha_recovery|Recovery|Missing Media File Count   
rac_database|invalid_objects|Invalid Objects by Schema|Owner's Invalid Object Count
rac_database|observer_11g|Data Guard Fast-Start Failover Observer|Observer Status  
rac_database|observer|Data Guard Fast-Start Failover Observer - 10.2 Database|Observer Status - 10.2 Database  
rac_database|problemSegTbsp|Tablespaces With Problem Segments|Segments Approaching Maximum Extents   
rac_database|problemSegTbsp|Tablespaces With Problem Segments|Segments Not Able to Extend    
rac_database|problemTbspTemp|Tablespaces Full (Temp)|Tablespace Free Space (MB) (Temp)  
rac_database|problemTbspTemp|Tablespaces Full (Temp)|Tablespace Space Used (%) (Temp)   
rac_database|problemTbspUndo|Tablespaces Full (Undo)|Tablespace Free Space (MB) (Undo)  
rac_database|problemTbspUndo|Tablespaces Full (Undo)|Tablespace Space Used (%) (Undo)   
rac_database|problemTbsp|Tablespaces Full|Tablespace Free Space (MB)   
rac_database|problemTbsp|Tablespaces Full|Tablespace Space Used (%)
rac_database|scn_growth_statistics|SCN Growth Statistics|Current SCN   
rac_database|scn_growth_statistics|SCN Growth Statistics|Current SCN Compatibility 
rac_database|scn_growth_statistics|SCN Growth Statistics|Max rate
rac_database|scn_growth_statistics|SCN Growth Statistics|Maximum SCN Compatibility 
rac_database|scn_growth_statistics|SCN Growth Statistics|SCN Health
rac_database|scn_growth_statistics|SCN Growth Statistics|SCN Total Growth Rate (per sec)
rac_database|scn_max_statistics|SCN Max Statistics|Max SCN Jump Time (GMT) 
rac_database|scn_max_statistics|SCN Max Statistics|Max SCN Jump in one second (last 24 hours)
rac_database|segment_advisor_count|Segment Advisor Recommendations|Number of recommendations 
rac_database|service_performance|Cluster Managed Database Services|% CPU Time Load (in last 5 min)   
rac_database|service_performance|Cluster Managed Database Services|Average Response Time (msec/call in last 5 min) 
rac_database|service_performance|Cluster Managed Database Services|Instance with Maximum Response Time   
rac_database|service_performance|Cluster Managed Database Services|Instance with Minimum Response Time   
rac_database|service_performance|Cluster Managed Database Services|Maximum Response Time (msec/call, in last 5 min)
rac_database|service_performance|Cluster Managed Database Services|Minimum Response Time (msec/call, in last 5 min)
rac_database|service_performance|Cluster Managed Database Services|Running Instances
rac_database|service_performance|Cluster Managed Database Services|Service Status  
rac_database|streams_apply_errors|Streams Apply Errors|Error Message   
rac_database|streams_apply_errors|Streams Apply Errors|Error Number
rac_database|streams_apply_errors|Streams Apply Errors|Message Count   
rac_database|streams_latency_throughput|Streams Latency and Throughput|Latency
rac_database|streams_latency_throughput|Streams Latency and Throughput|Throughput(per sec)   
rac_database|streams_latency_throughput|Streams Latency and Throughput|Total Messages   
rac_database|streams_processes_count|Streams Processes Count|Number of Apply Processes  
rac_database|streams_processes_count|Streams Processes Count|Number of Apply Processes Having Errors 
rac_database|streams_processes_count|Streams Processes Count|Number of Capture Processes
rac_database|streams_processes_count|Streams Processes Count|Number of Capture Processes Having Errors   
rac_database|streams_processes_count|Streams Processes Count|Number of Propagation Jobs 
rac_database|streams_processes_count|Streams Processes Count|Number of Propagations Having Errors
rac_database|streams_processes_count|Streams Processes Count|Streams processes count
rac_database|streams_processes_count|Streams Processes Count|Total Number of Propagation Errors  
rac_database|streams_processes_status|Streams Processes Status|Streams Process Errors   
rac_database|streams_processes_status|Streams Processes Status|Streams Process Status   
rac_database|tbspAllocation|Tablespace Allocation|Tablespace Allocated Space (MB)  
rac_database|tbspAllocation|Tablespace Allocation|Tablespace Used Space (MB) 
rac_database|wait_cpu_sess|Active Sessions by CPU and Wait  Classes|Active Sessions
rac_database|wait_cpu_sess|Active Sessions by CPU and Wait  Classes|End time 
weblogic_domain|owsm_policy_stats_appcomp_delta|OWSM Policy Application Delta Metrics|OWSM Authentication Policy Successes During the Last Period  
weblogic_domain|owsm_policy_stats_appcomp_delta|OWSM Policy Application Delta Metrics|OWSM Authentication Policy Violations During the Last Period 
weblogic_domain|owsm_policy_stats_appcomp_delta|OWSM Policy Application Delta Metrics|OWSM Authorization Policy Successes During the Last Period   
weblogic_domain|owsm_policy_stats_appcomp_delta|OWSM Policy Application Delta Metrics|OWSM Authorization Policy Violations During the Last Period  
weblogic_domain|owsm_policy_stats_appcomp_delta|OWSM Policy Application Delta Metrics|OWSM Confidentiality Policy Successes During the Last Period 
weblogic_domain|owsm_policy_stats_appcomp_delta|OWSM Policy Application Delta Metrics|OWSM Confidentiality Policy Violations During the Last Period
weblogic_domain|owsm_policy_stats_appcomp_delta|OWSM Policy Application Delta Metrics|OWSM Integrity Policy Successes During the Last Period   
weblogic_domain|owsm_policy_stats_appcomp_delta|OWSM Policy Application Delta Metrics|OWSM Integrity Policy Violations During the Last Period  
weblogic_domain|owsm_policy_stats_appcomp_delta|OWSM Policy Application Delta Metrics|OWSM Policy Successes During the Last Period   
weblogic_domain|owsm_policy_stats_appcomp_delta|OWSM Policy Application Delta Metrics|OWSM Policy Violations During the Last Period  
weblogic_domain|owsm_policy_stats_appcomp_delta|OWSM Policy Application Delta Metrics|OWSM Policy Violations Ratio During the Last Period
weblogic_domain|owsm_policy_stats_appcomp_delta|OWSM Policy Application Delta Metrics|OWSM Security Policy Successes During the Last Period
weblogic_domain|owsm_policy_stats_appcomp_delta|OWSM Policy Application Delta Metrics|OWSM Security Policy Violations During the Last Period   
weblogic_domain|owsm_policy_stats_appcomp_delta|OWSM Policy Application Delta Metrics|OWSM Security Policy Violations Ratio During the Last Period 
weblogic_domain|owsm_policy_stats_appcomp_rsctype_delta|OWSM Policy Application and Resource Type Delta Metrics|OWSM Authentication Policy Successes During the Last Period 
weblogic_domain|owsm_policy_stats_appcomp_rsctype_delta|OWSM Policy Application and Resource Type Delta Metrics|OWSM Authentication Policy Violations During the Last Period
weblogic_domain|owsm_policy_stats_appcomp_rsctype_delta|OWSM Policy Application and Resource Type Delta Metrics|OWSM Authorization Policy Successes During the Last Period  
weblogic_domain|owsm_policy_stats_appcomp_rsctype_delta|OWSM Policy Application and Resource Type Delta Metrics|OWSM Authorization Policy Violations During the Last Period 
weblogic_domain|owsm_policy_stats_appcomp_rsctype_delta|OWSM Policy Application and Resource Type Delta Metrics|OWSM Confidentiality Policy Successes During the Last Period
weblogic_domain|owsm_policy_stats_appcomp_rsctype_delta|OWSM Policy Application and Resource Type Delta Metrics|OWSM Confidentiality Policy Violations During the Last Period   
weblogic_domain|owsm_policy_stats_appcomp_rsctype_delta|OWSM Policy Application and Resource Type Delta Metrics|OWSM Integrity Policy Successes During the Last Period  
weblogic_domain|owsm_policy_stats_appcomp_rsctype_delta|OWSM Policy Application and Resource Type Delta Metrics|OWSM Integrity Policy Violations During the Last Period 
weblogic_domain|owsm_policy_stats_appcomp_rsctype_delta|OWSM Policy Application and Resource Type Delta Metrics|OWSM Policy Successes During the Last Period  
weblogic_domain|owsm_policy_stats_appcomp_rsctype_delta|OWSM Policy Application and Resource Type Delta Metrics|OWSM Policy Violations During the Last Period 
weblogic_domain|owsm_policy_stats_appcomp_rsctype_delta|OWSM Policy Application and Resource Type Delta Metrics|OWSM Policy Violations Ratio During the Last Period
weblogic_domain|owsm_policy_stats_appcomp_rsctype_delta|OWSM Policy Application and Resource Type Delta Metrics|OWSM Security Policy Successes During the Last Period   
weblogic_domain|owsm_policy_stats_appcomp_rsctype_delta|OWSM Policy Application and Resource Type Delta Metrics|OWSM Security Policy Violations During the Last Period  
weblogic_domain|owsm_policy_stats_appcomp_rsctype_delta|OWSM Policy Application and Resource Type Delta Metrics|OWSM Security Policy Violations Ratio During the Last Period
weblogic_domain|owsm_policy_stats_domain_delta|OWSM Policy Domain Delta Metrics|OWSM Authentication Policy Successes During the Last Period
weblogic_domain|owsm_policy_stats_domain_delta|OWSM Policy Domain Delta Metrics|OWSM Authentication Policy Violations During the Last Period   
weblogic_domain|owsm_policy_stats_domain_delta|OWSM Policy Domain Delta Metrics|OWSM Authorization Policy Successes During the Last Period 
weblogic_domain|owsm_policy_stats_domain_delta|OWSM Policy Domain Delta Metrics|OWSM Authorization Policy Violations During the Last Period
weblogic_domain|owsm_policy_stats_domain_delta|OWSM Policy Domain Delta Metrics|OWSM Confidentiality Policy Successes During the Last Period   
weblogic_domain|owsm_policy_stats_domain_delta|OWSM Policy Domain Delta Metrics|OWSM Confidentiality Policy Violations During the Last Period  
weblogic_domain|owsm_policy_stats_domain_delta|OWSM Policy Domain Delta Metrics|OWSM Integrity Policy Successes During the Last Period   
weblogic_domain|owsm_policy_stats_domain_delta|OWSM Policy Domain Delta Metrics|OWSM Integrity Policy Violations During the Last Period  
weblogic_domain|owsm_policy_stats_domain_delta|OWSM Policy Domain Delta Metrics|OWSM Policy Successes During the Last Period 
weblogic_domain|owsm_policy_stats_domain_delta|OWSM Policy Domain Delta Metrics|OWSM Policy Violations During the Last Period
weblogic_domain|owsm_policy_stats_domain_delta|OWSM Policy Domain Delta Metrics|OWSM Policy Violations Ratio During the Last Period  
weblogic_domain|owsm_policy_stats_domain_delta|OWSM Policy Domain Delta Metrics|OWSM Security Policy Successes During the Last Period
weblogic_domain|owsm_policy_stats_domain_delta|OWSM Policy Domain Delta Metrics|OWSM Security Policy Violations During the Last Period   
weblogic_domain|owsm_policy_stats_domain_delta|OWSM Policy Domain Delta Metrics|OWSM Security Policy Violations Ratio During the Last Period   
weblogic_domain|owsm_policy_stats_domain_rsctype_delta|OWSM Policy Domain and Resource Type Delta Metrics|OWSM Authentication Policy Successes During the Last Period   
weblogic_domain|owsm_policy_stats_domain_rsctype_delta|OWSM Policy Domain and Resource Type Delta Metrics|OWSM Authentication Policy Violations During the Last Period  
weblogic_domain|owsm_policy_stats_domain_rsctype_delta|OWSM Policy Domain and Resource Type Delta Metrics|OWSM Authorization Policy Successes During the Last Period    
weblogic_domain|owsm_policy_stats_domain_rsctype_delta|OWSM Policy Domain and Resource Type Delta Metrics|OWSM Authorization Policy Violations During the Last Period   
weblogic_domain|owsm_policy_stats_domain_rsctype_delta|OWSM Policy Domain and Resource Type Delta Metrics|OWSM Confidentiality Policy Successes During the Last Period  
weblogic_domain|owsm_policy_stats_domain_rsctype_delta|OWSM Policy Domain and Resource Type Delta Metrics|OWSM Confidentiality Policy Violations During the Last Period 
weblogic_domain|owsm_policy_stats_domain_rsctype_delta|OWSM Policy Domain and Resource Type Delta Metrics|OWSM Integrity Policy Successes During the Last Period
weblogic_domain|owsm_policy_stats_domain_rsctype_delta|OWSM Policy Domain and Resource Type Delta Metrics|OWSM Integrity Policy Violations During the Last Period  
weblogic_domain|owsm_policy_stats_domain_rsctype_delta|OWSM Policy Domain and Resource Type Delta Metrics|OWSM Policy Successes During the Last Period
